Birth Year,Birth Month,Country,Gov Region,County,Breed Type,Breed,Sex,Application Type,Number Of Births
2015,January  ,Scotland,Scotland,Aberdeen,Non Dairy,AUBRAC,M,Birth Application,1
2015,January  ,Scotland,Scotland,Mid Lothian,Dairy,AYRSHIRE,F,Birth Application,4
2015,January  ,Scotland,Scotland,Dumfries,Dairy,AYRSHIRE,F,Birth Application,24
2015,January  ,Scotland,Scotland,Kirkcudbright,Dairy,AYRSHIRE,F,Birth Application,30
2015,January  ,Scotland,Scotland,Aberdeen,Dairy,AYRSHIRE,F,Birth Application,4
2015,January  ,Scotland,Scotland,Wigtown,Dairy,AYRSHIRE,F,Birth Application,27
2015,January  ,Scotland,Scotland,Dunbarton,Dairy,AYRSHIRE,M,Birth Application,4
2015,January  ,Scotland,Scotland,Kinross,Dairy,AYRSHIRE,M,Birth Application,1
2015,January  ,Scotland,Scotland,Mid Lothian,Dairy,AYRSHIRE,M,Birth Application,1
2015,January  ,Scotland,Scotland,Kinross,Dairy,AYRSHIRE,F,Birth Application,7
2015,January  ,Scotland,Scotland,Wigtown,Dairy,AYRSHIRE,M,Birth Application,12
2015,January  ,Scotland,Scotland,Argyll,Dairy,AYRSHIRE,M,Birth Application,4
2015,January  ,Scotland,Scotland,Argyll,Dairy,AYRSHIRE,F,Birth Application,21
2015,January  ,Scotland,Scotland,Kirkcudbright,Dairy,AYRSHIRE,M,Birth Application,2
2015,January  ,Scotland,Scotland,Renfrew,Dairy,AYRSHIRE,M,Birth Application,1
2015,January  ,Scotland,Scotland,Renfrew,Dairy,AYRSHIRE,F,Birth Application,5
2015,January  ,Scotland,Scotland,Lanark,Dairy,AYRSHIRE,F,Birth Application,17
2015,January  ,Scotland,Scotland,Bute,Dairy,AYRSHIRE,F,Birth Application,3
2015,January  ,Scotland,Scotland,Moray,Dairy,AYRSHIRE,M,Birth Application,1
2015,January  ,Scotland,Scotland,Ayr,Dairy,AYRSHIRE,F,Birth Application,67
2015,January  ,Scotland,Scotland,Dumfries,Dairy,AYRSHIRE,M,Birth Application,13
2015,January  ,Scotland,Scotland,Perth,Dairy,AYRSHIRE,M,Birth Application,1
2015,January  ,Scotland,Scotland,Bute,Dairy,AYRSHIRE,M,Birth Application,1
2015,January  ,Scotland,Scotland,Lanark,Dairy,AYRSHIRE,M,Birth Application,6
2015,January  ,Scotland,Scotland,Ayr,Dairy,AYRSHIRE,M,Birth Application,16
2015,January  ,Scotland,Scotland,Dunbarton,Dairy,AYRSHIRE,F,Birth Application,6
2015,January  ,Scotland,Scotland,Aberdeen,Dairy,AYRSHIRE,M,Birth Application,1
2015,January  ,Scotland,Scotland,Aberdeen,Dairy,AYRSHIRE X,M,Birth Application,2
2015,January  ,Scotland,Scotland,Ayr,Dairy,AYRSHIRE X,M,Birth Application,6
2015,January  ,Scotland,Scotland,Aberdeen,Dairy,AYRSHIRE X,F,Birth Application,1
2015,January  ,Scotland,Scotland,Argyll,Dairy,AYRSHIRE X,F,Birth Application,3
2015,January  ,Scotland,Scotland,Lanark,Dairy,AYRSHIRE X,M,Birth Application,2
2015,January  ,Scotland,Scotland,Ayr,Dairy,AYRSHIRE X,F,Birth Application,15
2015,January  ,Scotland,Scotland,Angus,Dairy,AYRSHIRE X,F,Birth Application,1
2015,January  ,Scotland,Scotland,Fife,Dairy,AYRSHIRE X,M,Birth Application,1
2015,January  ,Scotland,Scotland,Kinross,Dairy,AYRSHIRE X,M,Birth Application,1
2015,January  ,Scotland,Scotland,Wigtown,Dairy,AYRSHIRE X,M,Birth Application,1
2015,January  ,Scotland,Scotland,Wigtown,Dairy,AYRSHIRE X,F,Birth Application,2
2015,January  ,Scotland,Scotland,Kirkcudbright,Dairy,AYRSHIRE X,F,Birth Application,8
2015,January  ,Scotland,Scotland,Dumfries,Dairy,AYRSHIRE X,F,Birth Application,3
2015,January  ,Scotland,Scotland,Kirkcudbright,Dairy,AYRSHIRE X,M,Birth Application,2
2015,January  ,Scotland,Scotland,Lanark,Dairy,AYRSHIRE X,F,Birth Application,6
